epoch,timestamp,operations,operations-delta,operations/second
1671784339.781,23/12/2022 08:32:19,188978,1096,1094.905
1671784340.781,23/12/2022 08:32:20,190112,1134,1134
1671784341.781,23/12/2022 08:32:21,191244,1132,1132
1671784342.781,23/12/2022 08:32:22,192357,1113,1113
1671784343.781,23/12/2022 08:32:23,193461,1104,1104
1671784344.781,23/12/2022 08:32:24,194589,1128,1128
1671784345.781,23/12/2022 08:32:25,195675,1086,1086
1671784346.781,23/12/2022 08:32:26,196805,1130,1130
1671784347.781,23/12/2022 08:32:27,197899,1094,1094
1671784348.781,23/12/2022 08:32:28,198989,1090,1090
1671784349.781,23/12/2022 08:32:29,200098,1109,1109
1671784350.781,23/12/2022 08:32:30,201107,1009,1009
1671784351.782,23/12/2022 08:32:31,202200,1093,1091.908
1671784352.782,23/12/2022 08:32:32,203330,1130,1130
1671784353.782,23/12/2022 08:32:33,204432,1102,1102
1671784354.782,23/12/2022 08:32:34,205565,1133,1133
1671784355.782,23/12/2022 08:32:35,206675,1110,1110
1671784356.782,23/12/2022 08:32:36,207798,1123,1123
1671784357.782,23/12/2022 08:32:37,208923,1125,1125
1671784358.782,23/12/2022 08:32:38,209996,1073,1073
1671784359.782,23/12/2022 08:32:39,211047,1051,1051
1671784360.782,23/12/2022 08:32:40,212074,1027,1027
1671784361.783,23/12/2022 08:32:41,213192,1118,1116.883
1671784362.783,23/12/2022 08:32:42,214308,1116,1116
1671784363.783,23/12/2022 08:32:43,215458,1150,1150
1671784364.783,23/12/2022 08:32:44,216580,1122,1122
1671784365.783,23/12/2022 08:32:45,217697,1117,1117
1671784366.783,23/12/2022 08:32:46,218819,1122,1122
1671784367.783,23/12/2022 08:32:47,219948,1129,1129
1671784368.783,23/12/2022 08:32:48,221055,1107,1107
1671784369.783,23/12/2022 08:32:49,222153,1098,1098
1671784370.783,23/12/2022 08:32:50,223268,1115,1115
1671784371.783,23/12/2022 08:32:51,224366,1098,1098
1671784372.784,23/12/2022 08:32:52,225494,1128,1126.873
1671784373.784,23/12/2022 08:32:53,226617,1123,1123
1671784374.784,23/12/2022 08:32:54,227739,1122,1122
1671784375.784,23/12/2022 08:32:55,228868,1129,1129
1671784376.784,23/12/2022 08:32:56,229972,1104,1104
1671784377.784,23/12/2022 08:32:57,231084,1112,1112
1671784378.784,23/12/2022 08:32:58,232224,1140,1140
1671784379.784,23/12/2022 08:32:59,233328,1104,1104
1671784380.784,23/12/2022 08:33:00,234450,1122,1122
1671784381.784,23/12/2022 08:33:01,235583,1133,1133
1671784382.784,23/12/2022 08:33:02,236626,1043,1043
1671784383.784,23/12/2022 08:33:03,237746,1120,1120
1671784384.785,23/12/2022 08:33:04,238915,1169,1167.832
1671784385.785,23/12/2022 08:33:05,240043,1128,1128
1671784386.785,23/12/2022 08:33:06,241168,1125,1125
1671784387.785,23/12/2022 08:33:07,242275,1107,1107
1671784388.785,23/12/2022 08:33:08,243340,1065,1065
1671784389.785,23/12/2022 08:33:09,244423,1083,1083
1671784390.785,23/12/2022 08:33:10,245534,1111,1111
1671784391.785,23/12/2022 08:33:11,246710,1176,1176
1671784392.785,23/12/2022 08:33:12,247879,1169,1169
1671784393.785,23/12/2022 08:33:13,248983,1104,1104
1671784394.785,23/12/2022 08:33:14,250102,1119,1119
1671784395.786,23/12/2022 08:33:15,251213,1111,1109.89
1671784396.786,23/12/2022 08:33:16,252330,1117,1117
1671784397.786,23/12/2022 08:33:17,253466,1136,1136
1671784398.786,23/12/2022 08:33:18,254542,1076,1076
1671784399.786,23/12/2022 08:33:19,255675,1133,1133
1671784400.786,23/12/2022 08:33:20,256815,1140,1140
1671784401.786,23/12/2022 08:33:21,257946,1131,1131
1671784402.786,23/12/2022 08:33:22,259085,1139,1139
1671784403.786,23/12/2022 08:33:23,260182,1097,1097
1671784404.786,23/12/2022 08:33:24,261220,1038,1038
1671784405.786,23/12/2022 08:33:25,262320,1100,1100
1671784406.787,23/12/2022 08:33:26,263436,1116,1114.885
1671784407.787,23/12/2022 08:33:27,264563,1127,1127
1671784408.787,23/12/2022 08:33:28,265678,1115,1115
1671784409.787,23/12/2022 08:33:29,266794,1116,1116
1671784410.787,23/12/2022 08:33:30,267943,1149,1149
1671784411.787,23/12/2022 08:33:31,269059,1116,1116
1671784412.787,23/12/2022 08:33:32,270156,1097,1097
1671784413.787,23/12/2022 08:33:33,271301,1145,1145
1671784414.787,23/12/2022 08:33:34,272447,1146,1146
1671784415.787,23/12/2022 08:33:35,273578,1131,1131
1671784416.787,23/12/2022 08:33:36,274708,1130,1130
1671784417.787,23/12/2022 08:33:37,275850,1142,1142
1671784418.788,23/12/2022 08:33:38,276884,1034,1032.967
1671784419.788,23/12/2022 08:33:39,277897,1013,1013
1671784420.788,23/12/2022 08:33:40,279032,1135,1135
1671784421.788,23/12/2022 08:33:41,280146,1114,1114
1671784422.788,23/12/2022 08:33:42,281302,1156,1156
1671784423.788,23/12/2022 08:33:43,282427,1125,1125
1671784424.788,23/12/2022 08:33:44,283552,1125,1125
1671784425.788,23/12/2022 08:33:45,284656,1104,1104
1671784426.788,23/12/2022 08:33:46,285812,1156,1156
1671784427.788,23/12/2022 08:33:47,286938,1126,1126
1671784428.788,23/12/2022 08:33:48,288048,1110,1110
1671784429.789,23/12/2022 08:33:49,289213,1165,1163.836
1671784430.789,23/12/2022 08:33:50,290350,1137,1137
